,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2024-03-28,171.47999572753906,0.9493,0.018,0.879,0.103,171.75,172.22999572753906,170.50999450683594,65672700.0
2024-04-01,170.02999877929688,0.9929,0.0,0.692,0.308,171.19000244140625,171.25,169.47999572753906,46240500.0
2024-04-02,168.83999633789062,0.9442,0.012,0.862,0.126,169.0800018310547,169.33999633789062,168.22999572753906,49329500.0
2024-04-03,169.64999389648438,0.9412,0.03,0.833,0.137,168.7899932861328,170.67999267578125,168.5800018310547,47691700.0
2024-04-04,168.82000732421875,0.983,0.022,0.83,0.148,170.2899932861328,171.9199981689453,168.82000732421875,53704400.0
2024-04-05,169.5800018310547,0.9274,0.0,0.79,0.21,169.58999633789062,170.38999938964844,168.9499969482422,42055200.0
2024-04-08,168.4499969482422,0.9552,0.079,0.719,0.202,169.02999877929688,169.1999969482422,168.24000549316406,37425500.0
2024-04-09,169.6699981689453,0.9678,0.009,0.853,0.138,168.6999969482422,170.0800018310547,168.35000610351562,42451200.0
2024-04-10,167.77999877929688,0.969,0.054,0.795,0.151,168.8000030517578,169.08999633789062,167.11000061035156,49709300.0
2024-04-11,175.0399932861328,0.7003,0.036,0.887,0.077,168.33999633789062,175.4600067138672,168.16000366210938,91070300.0
2024-04-12,176.5500030517578,0.101,0.06,0.877,0.062,174.25999450683594,178.36000061035156,174.2100067138672,101593300.0
2024-04-15,172.69000244140625,0.7504,0.045,0.884,0.071,175.36000061035156,176.6300048828125,172.5,73531800.0
2024-04-16,169.3800048828125,0.959,0.041,0.827,0.132,171.75,173.75999450683594,168.27000427246094,73711200.0
2024-04-17,168.0,0.9856,0.009,0.825,0.166,169.61000061035156,170.64999389648438,168.0,50901200.0
2024-04-18,167.0399932861328,0.9201,0.063,0.738,0.198,168.02999877929688,168.63999938964844,166.5500030517578,43122900.0
2024-04-19,165.0,0.8805,0.034,0.855,0.111,166.2100067138672,166.39999389648438,164.0800018310547,67772100.0
2024-04-22,165.83999633789062,0.9834,0.01,0.85,0.14,165.52000427246094,167.25999450683594,164.77000427246094,48116400.0
2024-04-23,166.89999389648438,0.5413,0.06,0.865,0.076,165.35000610351562,167.0500030517578,164.9199981689453,49537800.0
2024-04-24,169.02000427246094,0.9463,0.017,0.872,0.111,166.5399932861328,169.3000030517578,166.2100067138672,48251800.0
2024-04-26,169.3000030517578,0.836,0.0,0.93,0.07,169.8800048828125,171.33999633789062,169.17999267578125,44838400.0
2024-04-29,173.5,0.8327,0.041,0.844,0.114,173.3699951171875,176.02999877929688,173.10000610351562,68169400.0
2024-04-30,170.3300018310547,0.9881,0.015,0.865,0.119,173.3300018310547,174.99000549316406,170.0,65934800.0
